ko_id	CR18_ER180415_F	CR18_ER180415_S	CR18_LE180416_F	CR18_LE180416_S	CR18_XF180416_F	CR18_XF180416_S	CR18_LW180405_F	CR18_LW180405_S
K01887	0.0008215546053737	0.0007408732084919	0.0008883295702705	0.0007779468966683	0.000845129938728	0.0005521472392638	0.0005240174672489	0.0009102782285194
K01889	0.0006348376496069	0.0009197046726106	0.0006477403116556	0.0007102993404363	0.000633847454046	0.0007668711656441	0.0003493449781659	0.0011873194285035
K01890	0.0011203017346005	0.0009197046726106	0.0010363844986489	0.0008794182310164	0.0009987899275877	0.0006441717791411	0.0012227074235807	0.0008311235999525
K01892	0.0006908527363369	0.0005109470403392	0.0005737128474664	0.0006426517842042	0.0006146399554386	0.0006134969325153	0.0013973799126637	0.0008311235999525
K01893	0.0002800754336501	0.0003321155762205	0.0002776029907095	0.0004397091155082	0.0002881124791118	0.0004907975460122	0.0005240174672489	0.0006332370285352
K01894	0.0002427320424967	0.0001788314641187	0.0001295480623311	3.3823778116015554e-05	0.000211282484682	6.134969325153375e-05	0.0	0.0
K01895	0.0014750639505573	0.0015839358250517	0.0017026316763519	0.0021647217994249	0.0014981848913815	0.0018098159509202	0.0031441048034934	0.0023350615427237
K01896	3.734339115335064e-05	0.0	1.850686604730355e-05	3.3823778116015554e-05	1.920749860745636e-05	3.067484662576687e-05	0.0	3.957731428345273e-05
K01897	0.0025206789028511	0.0022992616815267	0.0021467964614872	0.0025367833587011	0.0016902598774561	0.0022392638036809	0.0006986899563318	0.0022559069141568
K01899	1.867169557667532e-05	5.109470403392688e-05	3.70137320946071e-05	6.764755623203111e-05	1.920749860745636e-05	3.067484662576687e-05	0.0001746724890829	3.957731428345273e-05
K01900	0.0	0.0	1.850686604730355e-05	0.0	0.0	0.0	0.0	0.0
K01902	0.0005974942584536	0.0006131364484071	0.0004441647851352	0.0004397091155082	0.000422564969364	0.0006134969325153	0.0010480349344978	0.0006332370285352
K01903	0.0004854640849935	0.0006131364484071	0.0005181922493244	0.0005073566717402	0.0003265274763267	0.0004601226993865	0.0003493449781659	0.000356195828551
K01905	0.0	0.0	0.0	0.0	0.0	3.067484662576687e-05	0.0	3.957731428345273e-05
K01907	0.0001867169557667	0.0001277367600848	0.000185068660473	0.0005073566717402	0.0002304899832894	0.0003680981595092	0.0001746724890829	0.0001583092571338
K01908	0.0003174188248034	0.0004343049842883	0.0003886441869933	0.0004058853373921	0.0004801874651864	0.0004907975460122	0.0003493449781659	0.000356195828551
K01909	1.867169557667532e-05	0.0	0.0	3.3823778116015554e-05	0.0	0.0	0.0	0.0
K01911	9.335847788337658e-05	0.0001277367600848	0.0001480549283784	0.000101471334348	0.0001728674874671	6.134969325153375e-05	0.0	0.0001978865714172
K01912	0.0002800754336501	0.0002810208721865	0.0001665617944257	0.0006088280060882	0.0002689049805043	0.0005521472392638	0.0003493449781659	0.0007123916571021
K01914	0.0	0.0	3.70137320946071e-05	0.0	1.920749860745636e-05	3.067484662576687e-05	0.0	3.957731428345273e-05
K01915	0.0019605280355509	0.0023248090335436	0.0017396454084465	0.0019617791307289	0.0015365998885965	0.0020245398773006	0.0013973799126637	0.0018997110856057
K01916	0.0003174188248034	0.0003065682242035	0.0002590961246622	0.0003044140030441	0.000211282484682	0.0003067484662576	0.0001746724890829	0.0003166185142676
K01918	0.0004294489982635	0.0004343049842883	0.000610726579561	0.0004397091155082	0.0004801874651864	0.0004294478527607	0.0001746724890829	0.0006728143428186
K01919	0.0004667923894168	0.0005364943923562	0.0005552059814191	0.0004397091155082	0.0005378099610087	0.0003374233128834	0.0005240174672489	0.0002770411999841
K01920	0.0002614037380734	0.0003321155762205	0.0002405892586149	0.0003044140030441	0.0002881124791118	0.0001533742331288	0.0001746724890829	7.915462856690546e-05
K01921	0.0006721810407603	0.0008686099685767	0.000795795240034	0.0007779468966683	0.0007682999442982	0.0006134969325153	0.0	0.0008707009142359
K01923	0.0004107773026868	0.0003321155762205	0.0003331235888514	0.0003382377811601	0.0004033574707565	0.0002760736196319	0.0008733624454148	0.0004353504571179
K01924	0.0007095244319136	0.0007408732084919	0.0006662471777029	0.0007102993404363	0.0007682999442982	0.0008282208588957	0.0008733624454148	0.000791546285669
K01925	0.0006348376496069	0.0004343049842883	0.000610726579561	0.0005750042279722	0.0007298849470833	0.0004907975460122	0.0006986899563318	0.0005540823999683
K01926	3.734339115335064e-05	2.554735201696344e-05	3.70137320946071e-05	3.3823778116015554e-05	7.68299944298254e-05	0.0	0.0	0.0
K01928	0.0005788225628769	0.0004087576322714	0.0007032609097975	0.0005073566717402	0.0007298849470833	0.0004907975460122	0.0001746724890829	0.000356195828551
K01929	0.0006535093451836	0.0005620417443731	0.0007772883739867	0.0004735328936242	0.0007298849470833	0.0007668711656441	0.0005240174672489	0.0006332370285352
K01930	0.0	2.554735201696344e-05	0.0	3.3823778116015554e-05	0.0	0.0	0.0	0.0
K01932	3.734339115335064e-05	0.0	1.850686604730355e-05	3.3823778116015554e-05	1.920749860745636e-05	0.0	0.0	0.0
K01933	0.0004667923894168	0.0004598523363053	0.0004256579190879	0.0005073566717402	0.0004801874651864	0.0003680981595092	0.0008733624454148	0.000791546285669
K01934	0.00011203017346	0.0001021894080678	0.0001110411962838	3.3823778116015554e-05	0.0001920749860745	9.20245398773006e-05	0.0	0.0001187319428503
K01935	0.00011203017346	5.109470403392688e-05	0.0001110411962838	0.000135295112464	7.68299944298254e-05	9.20245398773006e-05	0.0001746724890829	3.957731428345273e-05
K01937	0.0008215546053737	0.0009197046726106	0.0011659325609801	0.0010823608997124	0.000845129938728	0.0010122699386503	0.0013973799126637	0.001226896742787
K01938	0.0004107773026868	0.0003321155762205	0.0004256579190879	0.0004735328936242	0.0004993949637938	0.0003987730061349	0.0005240174672489	0.0008311235999525
K01939	0.0006535093451836	0.0004598523363053	0.0007217677758448	0.0005750042279722	0.0006914699498684	0.0003987730061349	0.0001746724890829	0.0004749277714014
K01940	0.0007655395186436	0.0007664205605089	0.0008143021060813	0.0008455944529003	0.0007490924456907	0.0009815950920245	0.0008733624454148	0.0010685874856532
K01941	0.0002987471292268	0.0003321155762205	0.0004441647851352	0.0002705902249281	0.0003649424735416	0.0002760736196319	0.0001746724890829	0.0001583092571338
K01945	0.0007655395186436	0.000689778504458	0.0006292334456083	0.0006426517842042	0.0005954324568311	0.0007668711656441	0.0005240174672489	0.0005936597142517
K01949	0.0001307018690367	0.0001021894080678	1.850686604730355e-05	0.000101471334348	1.920749860745636e-05	0.000122699386503	0.0	0.0
K01950	0.0007095244319136	0.0004853996883223	0.0004996853832771	0.0007441231185523	0.0004801874651864	0.000521472392638	0.0008733624454148	0.000791546285669
K01951	0.000802882909797	0.0007153258564749	0.0009993707665543	0.0010823608997124	0.0009219599331579	0.0009815950920245	0.0003493449781659	0.0009894328570863
K01952	0.0005788225628769	0.0009452520246276	0.0007032609097975	0.0008794182310164	0.0008067149415131	0.0008282208588957	0.0015720524017467	0.0008707009142359
K01953	0.0010642866478704	0.0009707993766446	0.0009438501684124	0.0015558937933367	0.0007106774484758	0.0016564417177914	0.0013973799126637	0.0013060513713539
K01955	0.0017364676886308	0.0019671461053061	0.0017766591405411	0.0020294266869609	0.0015558073872039	0.0021165644171779	0.0040174672489082	0.0026516800569913
K01956	0.0005974942584536	0.000638683800424	0.0007772883739867	0.0006088280060882	0.0007875074429057	0.0006134969325153	0.0012227074235807	0.0010290101713697
K01958	0.0004107773026868	0.0003065682242035	0.0004626716511825	0.0003382377811601	0.0005186024624013	0.0004294478527607	0.0003493449781659	0.0002770411999841
K01959	3.734339115335064e-05	5.109470403392688e-05	0.0001480549283784	0.0002367664468121	5.7622495822369054e-05	9.20245398773006e-05	0.0005240174672489	0.0001187319428503
K01960	0.0001493735646134	0.0002554735201696	3.70137320946071e-05	0.00016911889058	9.603749303728177e-05	0.0002453987730061	0.0005240174672489	0.0003957731428345
K01961	0.0012696752992139	0.0009963467286615	0.0007587815079394	0.0010147133434804	0.0008067149415131	0.001042944785276	0.0010480349344978	0.0011477421142201
K01962	0.0004107773026868	0.0005364943923562	0.0005181922493244	0.0004397091155082	0.0005186024624013	0.0004601226993865	0.0008733624454148	0.0003957731428345
K01963	0.0003360905203801	0.0004087576322714	0.000370137320946	0.0003044140030441	0.0003649424735416	0.0003680981595092	0.0001746724890829	0.0001978865714172
K01965	0.0007095244319136	0.0005364943923562	0.0004256579190879	0.0006088280060882	0.0004801874651864	0.0002760736196319	0.0006986899563318	0.0003166185142676
K01966	0.0008775696921037	0.000689778504458	0.0005922197135137	0.0006088280060882	0.0005954324568311	0.0006441717791411	0.0015720524017467	0.0005936597142517
K01968	0.0003360905203801	0.0004598523363053	0.0004441647851352	0.0006088280060882	0.0003457349749342	0.0004601226993865	0.0003493449781659	0.0002770411999841
K01969	0.0006721810407603	0.000689778504458	0.0005552059814191	0.0005073566717402	0.0004609799665789	0.000521472392638	0.0006986899563318	0.0005145050856848
K01970	9.335847788337658e-05	0.0	7.40274641892142e-05	3.3823778116015554e-05	5.7622495822369054e-05	3.067484662576687e-05	0.0	3.957731428345273e-05
K01971	0.0005974942584536	0.0003321155762205	0.0002776029907095	0.0003044140030441	0.0005570174596162	0.0006441717791411	0.0003493449781659	0.000356195828551
K01972	0.0011016300390238	0.0010985361367294	0.0011104119628382	0.0008117706747843	0.0011908649136622	0.0011349693251533	0.0012227074235807	0.0011081647999366
K01974	1.867169557667532e-05	0.0001021894080678	7.40274641892142e-05	3.3823778116015554e-05	0.0	6.134969325153375e-05	0.0	0.0001187319428503
K01975	7.468678230670127e-05	7.664205605089033e-05	3.70137320946071e-05	6.764755623203111e-05	0.0001152449916447	0.0001533742331288	0.0003493449781659	0.0001583092571338
K01989	3.734339115335064e-05	2.554735201696344e-05	7.40274641892142e-05	0.000101471334348	9.603749303728177e-05	9.20245398773006e-05	0.0001746724890829	0.0001187319428503
K01990	0.002931456205538	0.0027080193137981	0.0025909612466224	0.0028411973617453	0.0023048998328947	0.0033742331288343	0.0024454148471615	0.0035619582855107
K01991	0.0002427320424967	0.0002554735201696	0.0001665617944257	0.00016911889058	0.0003073199777193	9.20245398773006e-05	0.0	0.0001583092571338
K01992	0.0014750639505573	0.0014051043609329	0.0014990561498315	0.0010823608997124	0.0018247123677083	0.0017791411042944	0.0012227074235807	0.001226896742787
K01993	0.00016804526019	0.0001277367600848	0.0002220823925676	0.00016911889058	0.0001728674874671	0.0002760736196319	0.0	3.957731428345273e-05
K01994	0.0	0.0	0.0	0.0	0.0	3.067484662576687e-05	0.0	0.0
K01995	0.0016804526019007	0.0015072937690008	0.0013139874893585	0.0015558937933367	0.0009795824289802	0.0015337423312883	0.0010480349344978	0.0013060513713539
K01996	0.0014750639505573	0.0012007255447972	0.0010733982307436	0.0016235413495687	0.001094827420625	0.0017177914110429	0.0020960698689956	0.0015830925713381
K01997	0.001493735646134	0.0016605778811026	0.0015360698819261	0.0018264840182648	0.0012100724122697	0.0016257668711656	0.0013973799126637	0.0014247833142042
K01998	0.0010829583434471	0.0011751781927803	0.0008698227042232	0.0011500084559445	0.0011332424178399	0.0010736196319018	0.0005240174672489	0.0008707009142359
